Student_ID,Student_GivenName,Student_Surname,House,Merits,Demerits,Merit_Type,Awarded_By,Date Awarded
1089,Finlay,Fuller,Laratheon,3,,Social,GBR,01/01/2022
1634,Alisha,Norton,Mully,3,,Social,VCR,01/01/2022
1995,Faith,Allan,Laratheon,3,,Arts,VMA,01/01/2022
390,Grace,Watts,Dannister,2,,Social,PFR,01/01/2022
872,Abby,Clark,Tark,2,,Behaviour,GBR,02/01/2022
1010,Georgina,Elliott,Laratheon,1,,Arts,VCR,02/01/2022
1097,Charlie,Vincent,Mully,,1,Sports,ATR,02/01/2022
1089,Finlay,Fuller,Laratheon,3,,Social,GBR,02/01/2022
1397,Samantha,Dodd,Laratheon,2,,Academic,MAR,03/01/2022
304,Eleanor,Walton,Dannister,1,,Academic,VMA,03/01/2022
405,Ethan,Rose,Tark,1,,Arts,SMO,03/01/2022
383,Alex,Ingram,Tark,2,,Social,GBR,03/01/2022
1292,Callum,Stevenson,Dannister,1,,Sports,VMA,03/01/2022
709,Bethany,Hutchinson,Tark,3,,Social,GBR,03/01/2022
1049,Ethan,Reynolds,Tark,3,,Sports,SMO,04/01/2022
1516,Alexandra,Carter,Laratheon,2,,Academic,VMA,04/01/2022
594,Finley,Finch,Tark,2,,Behaviour,SMO,04/01/2022
708,Georgina,Owen,Laratheon,3,,Social,SMO,04/01/2022
106,Joseph,Poole,Laratheon,3,,Sports,SMO,04/01/2022
341,Matilda,Peters,Tark,2,,Social,LEX,04/01/2022
1907,Harrison,Greenwood,Laratheon,1,,Academic,MAR,04/01/2022
1394,Danielle,Leach,Mully,2,,Behaviour,VMA,04/01/2022
1986,Courtney,Sheppard,Dannister,2,,Academic,GBR,05/01/2022
228,Tilly,Parkinson,Laratheon,3,,Behaviour,VCR,05/01/2022
654,Millie,Glover,Dannister,2,,Academic,GBA,05/01/2022
438,Andrew,Storey,Dannister,1,,Arts,VCR,05/01/2022
559,Josh,Gallagher,Laratheon,3,,Academic,ATR,05/01/2022
1848,Hollie,Harrison,Dannister,,1,Behaviour,SMO,06/01/2022
1328,Erin,Murray,Mully,2,,Social,LEX,06/01/2022
1648,Georgia,Henry,Laratheon,3,,Social,MAR,06/01/2022
1670,Bailey,Poole,Laratheon,3,,Social,LEX,06/01/2022
317,Rebecca,Bruce,Dannister,3,,Social,LEX,06/01/2022
106,Joseph,Poole,Laratheon,3,,Sports,SMO,06/01/2022
1237,Jonathan,Coleman,Tark,3,,Academic,VCR,07/01/2022
1340,Abbie,Baker,Dannister,2,,Arts,VMA,07/01/2022
293,Sarah,Talbot,Tark,2,,Behaviour,VCR,07/01/2022
782,Max,Stokes,Mully,3,,Social,PFR,07/01/2022
1583,Freddie,Doyle,Laratheon,1,,Social,MAR,08/01/2022
922,Ryan,Field,Tark,2,,Behaviour,SMO,08/01/2022
235,Nathan,Whitehead,Laratheon,1,,Behaviour,SMO,08/01/2022
502,Christopher,Henderson,Dannister,2,,Sports,VCR,08/01/2022
417,Oscar,Potts,Tark,3,,Arts,SMO,08/01/2022
645,Louie,Whitehead,Dannister,2,,Academic,MAR,09/01/2022
1562,Tilly,Pollard,Mully,2,,Arts,SMO,09/01/2022
507,Lauren,Burgess,Dannister,3,,Behaviour,MAR,09/01/2022
599,Eva,Atkinson,Mully,1,,Behaviour,GBR,09/01/2022
1332,Cerys,Wheeler,Tark,1,,Sports,VCR,09/01/2022
629,Jordan,Greenwood,Laratheon,1,,Academic,SMO,09/01/2022
257,Natasha,Bennett,Tark,1,,Social,LHO,09/01/2022
1770,Ruby,Knight,Tark,3,,Academic,GBR,09/01/2022
1152,Jay,Palmer,Laratheon,1,,Behaviour,SMO,09/01/2022
1534,Yasmin,Talbot,Laratheon,3,,Academic,SMO,10/01/2022
1632,Joel,Knight,Tark,3,,Behaviour,ATR,10/01/2022
1270,Jade,Waters,Tark,3,,Sports,SMO,10/01/2022
52,Dylan,Akhtar,Laratheon,3,,Behaviour,GBA,10/01/2022
920,Muhammad,Edwards,Mully,3,,Academic,MAR,10/01/2022
936,Sienna,Bibi,Laratheon,1,,Arts,MAR,10/01/2022
939,Mia,Myers,Dannister,2,,Behaviour,MAR,10/01/2022
153,Georgina,Bradley,Laratheon,1,,Sports,SMO,10/01/2022
284,Morgan,Brennan,Dannister,2,,Arts,MAR,10/01/2022
1445,Maisie,Byrne,Tark,2,,Arts,GBR,10/01/2022
1551,Rhys,Manning,Mully,2,,Social,GBA,10/01/2022
604,Jordan,O'Connor,Tark,3,,Behaviour,VMA,10/01/2022
784,David,Norris,Tark,2,,Academic,VCR,11/01/2022
719,Libby,Wall,Mully,3,,Academic,VMA,11/01/2022
1373,Callum,Stephens,Mully,1,,Academic,GBA,11/01/2022
52,Dylan,Akhtar,Laratheon,3,,Behaviour,GBA,11/01/2022
160,Tom,Cooper,Mully,2,,Sports,VMA,12/01/2022
306,Kieran,Jennings,Dannister,2,,Behaviour,SMO,12/01/2022
670,Eve,Lamb,Tark,3,,Sports,MAR,12/01/2022
1968,Jake,Fowler,Dannister,1,,Arts,ATR,12/01/2022
626,Jack,Howells,Dannister,1,,Arts,VMA,12/01/2022
926,Daniel,Kaur,Mully,2,,Sports,SMO,12/01/2022
1399,Archie,Porter,Dannister,2,,Behaviour,MAR,12/01/2022
501,Isabelle,Walters,Dannister,1,,Behaviour,VMA,12/01/2022
872,Abby,Clark,Tark,2,,Behaviour,GBR,12/01/2022
1445,Maisie,Byrne,Tark,2,,Arts,GBR,12/01/2022
1418,Lily,Richardson,Laratheon,3,,Sports,VCR,13/01/2022
182,Michael,Phillips,Tark,2,,Sports,VCR,13/01/2022
425,Sofia,Holden,Tark,1,,Academic,JMI,13/01/2022
1561,Evie,Barber,Laratheon,,1,Academic,SMO,13/01/2022
384,Alexandra,Richards,Laratheon,1,,Arts,VCR,13/01/2022
1877,Katie,Greenwood,Dannister,1,,Social,GBR,13/01/2022
548,Alex,Robertson,Laratheon,1,,Arts,LEX,13/01/2022
1292,Callum,Stevenson,Dannister,1,,Sports,VMA,13/01/2022
1285,Jade,Dodd,Dannister,2,,Sports,MAR,13/01/2022
1623,James,Sheppard,Mully,1,,Behaviour,SMO,14/01/2022
746,Grace,Douglas,Tark,2,,Sports,ATR,14/01/2022
1285,Jade,Dodd,Dannister,2,,Sports,MAR,14/01/2022
567,Samantha,Chapman,Laratheon,3,,Behaviour,PFR,15/01/2022
1386,Freddie,Evans,Dannister,2,,Social,GBR,15/01/2022
1422,Mason,Hanson,Mully,3,,Social,ATR,15/01/2022
1918,Jack,Collier,Laratheon,1,,Academic,GBR,15/01/2022
