Student_ID,Gender,GivenName,Surname,Campus,Residence,Room,EmailAddress,Class
232,female,Jessica,Hughes,Lamuella,Fenchurch,29,JessicaHughes@trashymail.com,FE1
233,female,Mollie,Cooke,Vogon,Eccentrica,9,MollieCooke@mailinator.com,FE3
234,male,Dylan,Akhtar,Vogon,Fenchurch,9,DylanAkhtar@dodgit.com,FE5
235,male,Ellis,Charlton,Magrathea,Fenchurch,34,EllisCharlton@trashymail.com,FE3
236,male,Tom,Cooper,Magrathea,Trillian,21,TomCooper@trashymail.com,FE2
237,female,Louise,Conway,Vogon,Eccentrica,10,LouiseConway@pookmail.com,FE4
238,male,Michael,Phillips,Vogon,Fenchurch,57,MichaelPhillips@spambob.com,FE1
239,female,Amber,Turner,Vogon,Eccentrica,27,AmberTurner@pookmail.com,FE4
240,female,Tilly,Parkinson,Vogon,Fenchurch,20,TillyParkinson@trashymail.com,FE2
241,female,Ruby,Townsend,Magrathea,Trillian,41,RubyTownsend@spambob.com,FE5
242,male,Kieran,Jennings,Lamuella,Fenchurch,22,KieranJennings@trashymail.com,FE2
243,female,Matilda,Peters,Vogon,Trillian,33,MatildaPeters@spambob.com,FE5
244,female,Lydia,Hamilton,Magrathea,Trillian,28,LydiaHamilton@pookmail.com,FE2
245,female,Alexandra,Richards,Lamuella,Fenchurch,24,AlexandraRichards@trashymail.com,FE2
246,female,Grace,Watts,Lamuella,Fenchurch,10,GraceWatts@spambob.com,FE2
247,male,Ethan,Rose,Vogon,Trillian,44,EthanRose@dodgit.com,FE3
248,female,Eleanor,Stone,Magrathea,Trillian,12,EleanorStone@pookmail.com,FE5
249,female,Sofia,Holden,Magrathea,Fenchurch,41,SofiaHolden@mailinator.com,FE4
250,female,Elise,Walters,Vogon,Eccentrica,6,EliseWalters@spambob.com,FE5
251,male,Leo,Harris,Lamuella,Trillian,24,LeoHarris@spambob.com,FE3
252,male,Ellis,Saunders,Magrathea,Eccentrica,6,EllisSaunders@trashymail.com,FE1
253,male,Gabriel,Noble,Vogon,Eccentrica,28,GabrielNoble@trashymail.com,FE2
254,female,Samantha,Chapman,Vogon,Fenchurch,34,SamanthaChapman@mailinator.com,FE1
255,male,Jordan,O'Connor,Lamuella,Eccentrica,36,JordanOConnor@spambob.com,FE4
256,male,Jack,Howells,Magrathea,Eccentrica,55,JackHowells@trashymail.com,FE2
257,male,Louie,Whitehead,Vogon,Eccentrica,21,LouieWhitehead@pookmail.com,FE3
258,female,Millie,Glover,Magrathea,Eccentrica,18,MillieGlover@spambob.com,FE1
259,female,Olivia,Coleman,Lamuella,Trillian,1,OliviaColeman@mailinator.com,FE3
260,female,Lydia,Bartlett,Magrathea,Fenchurch,55,LydiaBartlett@spambob.com,FE1
261,female,Abbie,Bennett,Lamuella,Eccentrica,18,AbbieBennett@trashymail.com,FE2
262,female,Georgina,Owen,Lamuella,Trillian,38,GeorginaOwen@dodgit.com,FE2
263,female,Bethany,Hutchinson,Magrathea,Fenchurch,15,BethanyHutchinson@spambob.com,FE3
264,male,Noah,Chambers,Magrathea,Eccentrica,9,NoahChambers@pookmail.com,FE1
265,female,Maddison,O'Sullivan,Magrathea,Eccentrica,38,MaddisonOSullivan@pookmail.com,FE5
266,male,Kai,Alexander,Magrathea,Fenchurch,55,KaiAlexander@spambob.com,FE1
267,male,Max,Stokes,Magrathea,Trillian,52,MaxStokes@dodgit.com,FE5
268,male,Luca,Lee,Magrathea,Eccentrica,20,LucaLee@dodgit.com,FE2
269,female,Evie,Thornton,Magrathea,Eccentrica,34,EvieThornton@spambob.com,FE2
270,female,Isabel,Gough,Lamuella,Fenchurch,18,IsabelGough@spambob.com,FE4
271,female,Abby,Clark,Lamuella,Fenchurch,47,AbbyClark@spambob.com,FE4
272,female,Aaliyah,Flynn,Magrathea,Trillian,43,AaliyahFlynn@trashymail.com,FE1
273,male,Ryan,Field,Lamuella,Eccentrica,25,RyanField@spambob.com,FE5
274,male,Daniel,Kaur,Magrathea,Trillian,23,DanielKaur@pookmail.com,FE3
275,female,Mia,Myers,Vogon,Eccentrica,40,MiaMyers@dodgit.com,FE3
276,female,Melissa,Davidson,Vogon,Fenchurch,26,MelissaDavidson@mailinator.com,FE2
277,female,Tegan,Mahmood,Magrathea,Fenchurch,16,TeganMahmood@dodgit.com,FE5
278,female,Millie,Baldwin,Lamuella,Eccentrica,33,MillieBaldwin@mailinator.com,FE1
279,female,Leah,Reid,Magrathea,Eccentrica,37,LeahReid@mailinator.com,FE1
280,female,Georgina,Elliott,Magrathea,Trillian,49,GeorginaElliott@dodgit.com,FE4
281,female,Alisha,Osborne,Magrathea,Eccentrica,43,AlishaOsborne@mailinator.com,FE2
282,female,Skye,Atkins,Vogon,Eccentrica,14,SkyeAtkins@spambob.com,FE1
283,female,Elizabeth,Winter,Magrathea,Eccentrica,60,ElizabethWinter@trashymail.com,FE4
284,male,Finlay,Fuller,Lamuella,Eccentrica,45,FinlayFuller@trashymail.com,FE4
285,female,Charlie,Vincent,Vogon,Fenchurch,35,CharlieVincent@spambob.com,FE3
286,female,Kate,Mellor,Vogon,Fenchurch,48,KateMellor@spambob.com,FE5
287,female,Victoria,Watkins,Magrathea,Eccentrica,39,VictoriaWatkins@mailinator.com,FE4
288,male,Jay,Palmer,Lamuella,Fenchurch,50,JayPalmer@dodgit.com,FE3
289,female,Caitlin,Akhtar,Magrathea,Fenchurch,32,CaitlinAkhtar@trashymail.com,FE3
290,female,Jade,Waters,Magrathea,Fenchurch,23,JadeWaters@pookmail.com,FE2
291,female,Ruby,Miller,Magrathea,Trillian,20,RubyMiller@mailinator.com,FE4
292,female,Erin,Murray,Lamuella,Fenchurch,8,ErinMurray@mailinator.com,FE4
293,male,Callum,Stephens,Vogon,Fenchurch,40,CallumStephens@dodgit.com,FE1
294,female,Ruby,Burrows,Lamuella,Fenchurch,19,RubyBurrows@dodgit.com,FE1
295,female,Danielle,Leach,Vogon,Trillian,40,DanielleLeach@trashymail.com,FE2
296,female,Lily,Richardson,Lamuella,Eccentrica,53,LilyRichardson@pookmail.com,FE2
297,female,Samantha,Scott,Lamuella,Trillian,5,SamanthaScott@mailinator.com,FE3
298,female,Maisie,Byrne,Lamuella,Eccentrica,18,MaisieByrne@pookmail.com,FE5
299,female,Amber,Bevan,Magrathea,Trillian,32,AmberBevan@mailinator.com,FE3
300,female,Lilly,Potts,Lamuella,Eccentrica,57,LillyPotts@mailinator.com,FE1
301,female,Sienna,Holland,Magrathea,Trillian,23,SiennaHolland@dodgit.com,FE1
302,female,Jade,Hobbs,Magrathea,Eccentrica,31,JadeHobbs@trashymail.com,FE4
303,female,Aaliyah,Kennedy,Lamuella,Fenchurch,35,AaliyahKennedy@trashymail.com,FE5
304,female,Alexandra,Carter,Magrathea,Eccentrica,6,AlexandraCarter@dodgit.com,FE5
305,female,Yasmin,Talbot,Lamuella,Eccentrica,60,YasminTalbot@trashymail.com,FE2
306,male,Rhys,Manning,Lamuella,Trillian,15,RhysManning@spambob.com,FE1
307,female,Eve,Kelly,Lamuella,Eccentrica,48,EveKelly@dodgit.com,FE3
308,female,Charlotte,Hyde,Magrathea,Trillian,14,CharlotteHyde@trashymail.com,FE2
309,female,Evie,Barber,Lamuella,Eccentrica,42,EvieBarber@spambob.com,FE2
310,female,Tilly,Pollard,Lamuella,Trillian,2,TillyPollard@trashymail.com,FE4
311,male,Tyler,Skinner,Magrathea,Fenchurch,29,TylerSkinner@dodgit.com,FE3
312,male,Freddie,Doyle,Magrathea,Trillian,39,FreddieDoyle@dodgit.com,FE4
313,male,Joel,Knight,Magrathea,Fenchurch,22,JoelKnight@mailinator.com,FE3
314,female,Georgia,Henry,Magrathea,Fenchurch,43,GeorgiaHenry@pookmail.com,FE4
315,male,Bailey,Poole,Lamuella,Trillian,9,BaileyPoole@mailinator.com,FE2
316,female,Madison,Schofield,Vogon,Eccentrica,59,MadisonSchofield@trashymail.com,FE4
317,male,Luke,Vincent,Lamuella,Trillian,24,LukeVincent@mailinator.com,FE1
318,female,Ruby,Knight,Vogon,Trillian,48,RubyKnight@trashymail.com,FE3
319,female,Hollie,Harrison,Magrathea,Trillian,3,HollieHarrison@mailinator.com,FE3
320,female,Katie,Greenwood,Lamuella,Eccentrica,10,KatieGreenwood@dodgit.com,FE1
321,male,Andrew,Barber,Lamuella,Eccentrica,2,AndrewBarber@trashymail.com,FE4
322,male,Harrison,Greenwood,Lamuella,Eccentrica,14,HarrisonGreenwood@dodgit.com,FE5
323,male,Ewan,Mills,Lamuella,Eccentrica,47,EwanMills@pookmail.com,FE1
324,male,Jack,Collier,Vogon,Eccentrica,54,JackCollier@pookmail.com,FE1
325,male,Sebastian,Bull,Lamuella,Trillian,23,SebastianBull@dodgit.com,FE1
326,male,Charlie,Leonard,Vogon,Eccentrica,6,CharlieLeonard@mailinator.com,FE1
327,male,Jake,Fowler,Lamuella,Eccentrica,52,JakeFowler@mailinator.com,FE2
328,female,Courtney,Sheppard,Lamuella,Fenchurch,35,CourtneySheppard@mailinator.com,FE4
329,female,Faith,Allan,Vogon,Trillian,13,FaithAllan@mailinator.com,FE4
330,female,Samantha,Ingram,Lamuella,Fenchurch,21,SamanthaIngram@mailinator.com,FE5
331,male,Joseph,Poole,Lamuella,Eccentrica,43,JosephPoole@dodgit.com,FE2
332,female,Ella,Cook,Lamuella,Trillian,48,EllaCook@dodgit.com,FE5
333,female,Georgia,Allan,Vogon,Eccentrica,11,GeorgiaAllan@mailinator.com,FE1
334,female,Emma,Chadwick,Magrathea,Fenchurch,30,EmmaChadwick@mailinator.com,FE1
335,female,Georgina,Bradley,Lamuella,Fenchurch,10,GeorginaBradley@spambob.com,FE1
336,female,Cerys,Horton,Lamuella,Fenchurch,33,CerysHorton@trashymail.com,FE5
337,male,Anthony,Flynn,Vogon,Eccentrica,39,AnthonyFlynn@spambob.com,FE3
338,male,William,O'Brien,Vogon,Trillian,13,WilliamOBrien@spambob.com,FE2
339,female,Jasmine,Hilton,Vogon,Eccentrica,30,JasmineHilton@pookmail.com,FE3
340,male,Nathan,Whitehead,Lamuella,Fenchurch,40,NathanWhitehead@trashymail.com,FE2
341,female,Elizabeth,O'Brien,Vogon,Eccentrica,16,ElizabethOBrien@spambob.com,FE4
342,female,Olivia,Harvey,Vogon,Eccentrica,20,OliviaHarvey@mailinator.com,FE4
343,female,Natasha,Bennett,Lamuella,Trillian,59,NatashaBennett@trashymail.com,FE1
344,female,Megan,Garner,Lamuella,Trillian,39,MeganGarner@mailinator.com,FE2
345,female,Morgan,Brennan,Lamuella,Trillian,52,MorganBrennan@trashymail.com,FE2
346,female,Sarah,Talbot,Lamuella,Fenchurch,45,SarahTalbot@pookmail.com,FE1
347,female,Eleanor,Walton,Vogon,Eccentrica,17,EleanorWalton@dodgit.com,FE1
348,male,Alfie,Rowe,Vogon,Trillian,29,AlfieRowe@spambob.com,FE4
349,female,Rebecca,Bruce,Vogon,Fenchurch,30,RebeccaBruce@pookmail.com,FE1
350,male,Joel,Gould,Magrathea,Trillian,35,JoelGould@mailinator.com,FE3
351,female,Abigail,Hardy,Magrathea,Fenchurch,33,AbigailHardy@spambob.com,FE5
352,female,Sarah,Mistry,Magrathea,Eccentrica,39,SarahMistry@dodgit.com,FE5
353,male,Alex,Ingram,Magrathea,Trillian,6,AlexIngram@mailinator.com,FE2
354,male,Oscar,Potts,Vogon,Fenchurch,15,OscarPotts@pookmail.com,FE1
355,female,Nicole,Fletcher,Vogon,Fenchurch,52,NicoleFletcher@pookmail.com,FE5
356,male,Lewis,Bentley,Vogon,Eccentrica,37,LewisBentley@spambob.com,FE4
357,male,Andrew,Storey,Lamuella,Fenchurch,58,AndrewStorey@mailinator.com,FE5
358,male,Bradley,Cameron,Magrathea,Eccentrica,22,BradleyCameron@spambob.com,FE2
359,male,Mohammed,Mellor,Vogon,Eccentrica,28,MohammedMellor@dodgit.com,FE2
360,female,Isabelle,Walters,Lamuella,Trillian,41,IsabelleWalters@dodgit.com,FE3
361,male,Christopher,Henderson,Vogon,Trillian,56,ChristopherHenderson@trashymail.com,FE5
362,female,Lauren,Burgess,Vogon,Fenchurch,43,LaurenBurgess@mailinator.com,FE1
363,female,Demi,Blake,Magrathea,Trillian,8,DemiBlake@dodgit.com,FE3
364,female,Danielle,Shaw,Lamuella,Trillian,16,DanielleShaw@trashymail.com,FE4
365,male,Alex,Robertson,Vogon,Fenchurch,2,AlexRobertson@spambob.com,FE1
366,female,Paige,Welch,Lamuella,Eccentrica,22,PaigeWelch@spambob.com,FE4
367,male,Josh,Gallagher,Magrathea,Trillian,3,JoshGallagher@mailinator.com,FE3
368,male,Finley,Finch,Lamuella,Fenchurch,35,FinleyFinch@spambob.com,FE5
369,female,Eva,Atkinson,Vogon,Fenchurch,44,EvaAtkinson@mailinator.com,FE2
370,male,Jordan,Greenwood,Vogon,Trillian,3,JordanGreenwood@mailinator.com,FE3
371,female,Lara,Whittaker,Magrathea,Eccentrica,30,LaraWhittaker@dodgit.com,FE5
372,female,Eve,Lamb,Lamuella,Fenchurch,5,EveLamb@mailinator.com,FE3
373,female,Libby,Wall,Lamuella,Trillian,30,LibbyWall@mailinator.com,FE5
376,male,David,Norris,Magrathea,Eccentrica,43,DavidNorris@spambob.com,FE3
