Customer number,Customer first name,Customer Family name,Customer Address 1,Customer Address 2,Customer Zip code,Customer email
1,Laura,Macdonald,71 Boughton Rd,WHITTON,SY8 0QN,Laura.Macdonald@spambob.com
2,Jasmine,Gunn,94 Shore Street,STOKE TRISTER,BA9 6AY,Jasmine.Gunn@pookmail.com
3,Linda,Stuart,51 High St,THORPE LE STREET,YO4 7JU,Linda.Stuart@trashymail.com
4,Li,Oon,62 Buckingham Rd,THORNTON-LE-MOOR,DL7 3ZJ,LiOon@trashymail.com
5,Vishnu,Patel,93 Whitby Road,DENHEAD,AB42 5AP,Vishnu.Patel@mailinator.com
6,Loiuse,Baiardo,25 Guild Street,LONDON,EC2 0EB,Loiuse.Baiardo@dodgit.com
7,Becci,Yeung,65 Scrimshire Lane,ASTCOTE,NN12 1XE,Becci.Yeung@dodgit.com
8,Joshua,Bui,55 Scarcroft Road,PORTH,CF39 4LE,JoshuaBui@mailinator.com
9,Fang,Hu,53 Stone St,CRANK,WA11 8ZE,Fang.Hu@trashymail.com
10,Sonja,Steinle,56 Southend Avenue,BLACKHEATH,B65 2ZD,Sonja.Steinle@trashymail.com
11,Steve,Brown,99 Whitby Road,DIAL POST,RH13 4EQ,Steve.Brown.46@spambob.com
12,Jimmy,Lee,73 Boroughbridge Road,BISHOPSTONE,HP17 3RL,Jimmy.Lee@spambob.com
13,Natasha,Paterson,9 Golf Road,SWAINSWICK,BA1 8SP,Natasha.Paterson@dodgit.com
14,Stuart,Guttermann,93 Holburn Lane,HELMSHORE,BB4 7EJ,Stuart.Guttermann@mailinator.com
15,Angela,Akula,37 Davids Lane,STURRY,CT2 9GT,Angela.Akula@spambob.com
16,Mohamed Khaled,Aly,2 Guildford Rd,EAST GRIMSTEAD,SP5 2TU,Mohamed.Khaled.Aly@spambob.com
17,Anthony,Campbell,93 Whitby Road,DENHEAD,AB42 5AP,Anthony.Campbell@dodgit.com
18,Joanne,Floyd,10 Southend Avenue,BLACKDOWN,DT8 2PB,Joanne.Floyd@mailinator.com
19,Lotte,Charles,70 Bridge Street,GOLDSBOROUGH,YO21 3JB,lotte.charles2@spambob.com
20,Jane,Morrison,45 Argyll Road,LLANBRADACH,CF83 6QB,Jane.Morrison@trashymail.com
21,Karla,Bloomsfeld,12 Graham Road,CHEVITHORNE,EX16 2ND,Karla.Bloomsfeld@spambob.com
22,Lucy,Purton,51 High St,THUNDERTON,AB42 5BT,Lucy.Purton@dodgit.com
23,Moshe,Harris,25 Scarcroft Road,PORT OF MENTEITH,FK8 4EU,Moshe.Harris@spambob.com
24,Kate,Smith,78 Marlborough Crescent,SOUTH LEVERTON,DN22 1HY,Kate.Smith@mailinator.com
25,Lei,Xu,54 Quay Street,NEDD,IV27 7TR,Lei.Xu@spambob.com
26,Dawid,Jones,98 Walwyn Rd,CHAPELTOWN,CA6 0WB,jonesd16@dodgit.com
27,Naomi,Murray,1 Long Street,MILL OF COLP,AB53 2TS,Naomi.Murray@mailinator.com
28,Yo-Yo,Chong,43 Caerfai Bay Road,THAMES DITTON,KT7 5GH,Yo-Yo.Chong@spambob.com
29,Bex,Young,98 Middlewich Road,FISHWICK,PR1 1RR,Bex.Young@mailinator.com
30,Jeannie,Burke,14 Broomfield Place,STONEHOUSE,ML9 1YU,Jeannie.Burke@mailinator.com
